x,y,z
-9.393376159667968750e+01,-5.946612358093261719e+00,1.352186889648437500e+02
-9.404575347900390625e+01,-5.854203701019287109e+00,1.356157379150390625e+02
-9.415834045410156250e+01,-5.758577346801757812e+00,1.360118103027343750e+02
-9.427133941650390625e+01,-5.659530639648437500e+00,1.364069366455078125e+02
-9.438457489013671875e+01,-5.556858062744140625e+00,1.368011322021484375e+02
-9.449785614013671875e+01,-5.450357437133789062e+00,1.371944122314453125e+02
-9.461101531982421875e+01,-5.339823722839355469e+00,1.375868072509765625e+02
-9.472386932373046875e+01,-5.225061893463134766e+00,1.379783325195312500e+02
-9.483649444580078125e+01,-5.106066703796386719e+00,1.383689270019531250e+02
-9.494918823242187500e+01,-4.983021259307861328e+00,1.387584991455078125e+02
-9.506227874755859375e+01,-4.856117248535156250e+00,1.391469268798828125e+02
-9.517608642578125000e+01,-4.725544929504394531e+00,1.395341033935546875e+02
-9.529092407226562500e+01,-4.591496467590332031e+00,1.399199066162109375e+02
-9.540711212158203125e+01,-4.454162120819091797e+00,1.403042297363281250e+02
-9.552497100830078125e+01,-4.313734054565429688e+00,1.406869812011718750e+02
-9.564481353759765625e+01,-4.170403003692626953e+00,1.410680084228515625e+02
-9.576696014404296875e+01,-4.024359703063964844e+00,1.414472351074218750e+02
-9.589173889160156250e+01,-3.875796079635620117e+00,1.418245391845703125e+02
-9.601945495605468750e+01,-3.724903106689453125e+00,1.421998138427734375e+02
-9.615043640136718750e+01,-3.571871995925903320e+00,1.425729370117187500e+02
-9.628499603271484375e+01,-3.416893720626831055e+00,1.429437866210937500e+02
-9.642345428466796875e+01,-3.260159730911254883e+00,1.433122863769531250e+02
-9.656613159179687500e+01,-3.101861238479614258e+00,1.436782836914062500e+02
-9.671334838867187500e+01,-2.942189455032348633e+00,1.440417022705078125e+02
-9.686541748046875000e+01,-2.781335353851318359e+00,1.444024047851562500e+02
-9.702265930175781250e+01,-2.619490385055541992e+00,1.447602996826171875e+02
-9.718530273437500000e+01,-2.456865549087524414e+00,1.451153106689453125e+02
-9.735321807861328125e+01,-2.293753862380981445e+00,1.454676055908203125e+02
-9.752617645263671875e+01,-2.130469799041748047e+00,1.458174285888671875e+02
-9.770394897460937500e+01,-1.967326998710632324e+00,1.461649932861328125e+02
-9.788631439208984375e+01,-1.804639816284179688e+00,1.465104980468750000e+02
-9.807304382324218750e+01,-1.642722010612487793e+00,1.468542175292968750e+02
-9.826390838623046875e+01,-1.481888055801391602e+00,1.471963195800781250e+02
-9.845868682861328125e+01,-1.322451591491699219e+00,1.475370635986328125e+02
-9.865714263916015625e+01,-1.164726972579956055e+00,1.478766632080078125e+02
-9.885905456542968750e+01,-1.009028196334838867e+00,1.482153472900390625e+02
-9.906420135498046875e+01,-8.556692600250244141e-01,1.485533294677734375e+02
-9.927235412597656250e+01,-7.049642801284790039e-01,1.488908386230468750e+02
